product_name,category,price
Wireless Earbuds Pro,Electronics,3749.0
Smart Fitness Band,Electronics,2749.0
Portable Bluetooth Speaker,Electronics,2749.0
65W Fast Charger,Electronics,1249.0
Noise Cancelling Headphones,Electronics,7999.0
Cotton Casual Shirt,Fashion,1149.0
Slim Fit Denim Jeans,Fashion,1899.0
Running Shoes,Fashion,2999.0
Leather Wallet,Fashion,999.0
Winter Bomber Jacket,Fashion,3499.0
Stainless Steel Cookware Set,Home & Kitchen,4499.0
Air Fryer 4L,Home & Kitchen,4499.0
Ceramic Coffee Mug Set,Home & Kitchen,749.0
Memory Foam Pillow,Home & Kitchen,1349.0
Non-stick Frying Pan,Home & Kitchen,1049.0
Vitamin C Face Serum,Beauty,899.0
Herbal Shampoo 400ml,Beauty,524.0
Matte Lipstick Combo,Beauty,749.0
Sunscreen SPF 50,Beauty,599.0
Aromatherapy Candle Set,Beauty,999.0
Atomic Habits,Books,399.0
The Psychology of Money,Books,349.0
A Court of Thorns and Roses,Books,474.0
Sapiens,Books,524.0
Ikigai,Books,324.0
Yoga Mat 6mm,Sports & Fitness,999.0
Adjustable Dumbbell Set,Sports & Fitness,3749.0
Resistance Bands Kit,Sports & Fitness,699.0
Cricket Bat (Kashmir Willow),Sports & Fitness,2249.0
Cycling Helmet,Sports & Fitness,1499.0
